glucose,O2,CO2,glucose_rate,O2_rate,CO2_rate,growth
0.00023489721547203835,0.00069285640557549186,0.0018201686941075859,-0.0049606990452516287,-0.029764194271509774,0.029764194271509774,0.19842796181006514
0.0014979575659494549,0.00039207087984503576,0.0018532220482936836,-0.0099296543775529607,-0.059577926265317764,0.059577926265317764,0.39718617510211846
0.0007195537633226624,0.00029938326719764451,0.00053769439883080727,-0.0070743384112560851,-0.042446030467536512,0.042446030467536512,0.28297353645024342
0.00016401735157268302,0.00014980009720600259,0.0013195900514655261,-0.0021155949994386895,-0.012693569996632136,0.012693569996632136,0.084623799977547584
0.00035993917132907277,0.00035792769583444152,0.0023022807381928405,-0.0053704262895322864,-0.032222557737193722,0.032222557737193722,0.21481705158129144
0.0011397213803403322,0.00055863707820199562,0.00044491797203999615,-0.010236566786442336,-0.06141940071865401,0.06141940071865401,0.40946267145769344
0.00095019184971774611,2.4359446185546526e-05,0.0025521119251863647,-0.0014227837214230582,-0.0085367023285383495,0.0085367023285383495,0.056911348856922325
0.0013778064743190837,0.00057682491011819574,0.0026326625861275961,-0.010896530739651758,-0.065379184437910548,0.065379184437910548,0.43586122958607032
0.00070330222191402453,0.00022040286640667502,0.00093425642257295813,-0.006128424446963013,-0.03677054668177808,0.03677054668177808,0.24513697787852051
0.0011967327125912697,0.00017376627144629901,0.00094212986184687381,-0.0065581160795009762,-0.039348696477005854,0.039348696477005854,0.26232464318003906
0.00075741244235876188,0.00016173445786408009,0.0028305836956860854,-0.0053863845285906696,-0.03231830717154402,0.03231830717154402,0.21545538114362678
0.0015386962449035603,0.00029659661936888782,0.00078569670235825479,-0.0090155620020246786,-0.054093372012148075,0.054093372012148075,0.36062248008098718
2.3004789723424234e-05,0.00061273284923820173,0.0020823655938103027,-0.00066323272640262515,-0.0039793963584157507,0.0039793963584157507,0.026529309056105007
0.0011819611183510727,0.00026614486829125254,0.0021015653934274296,-0.0080244342527311177,-0.048146605516386706,0.048146605516386706,0.32097737010924471
0.0011792568956704684,0.00067483319784511823,0.0029521814705523695,-0.010834090619350211,-0.06500454371610126,0.06500454371610126,0.43336362477400842
0.00012576067536150521,0.00050209263129317473,0.00082724530739878026,-0.0028744583618334749,-0.017246750171000851,0.017246750171000851,0.11497833447333899
0.0015316666782939383,0.00036107172931525795,0.002125692847160326,-0.0097032428683698334,-0.058219457210218997,0.058219457210218997,0.38812971473479335
0.0012727123543644729,0.00096114754312222534,0.0028492602930847368,-0.011885696508314565,-0.071314179049887391,0.071314179049887391,0.47542786033258261
0.0019008510963009532,0.00093524653242641907,0.0028370041106522683,-0.013045141387376752,-0.078270848324260511,0.078270848324260511,0.52180565549507008
0.00038242052847349767,0.0002109818845250108,0.0013509310016623906,-0.0044495703547428513,-0.026697422128457108,0.026697422128457108,0.17798281418971404
0.00085565410855377151,0.00047207532166515542,0.0013949487669901168,-0.0088669179599668319,-0.053201507759800995,0.053201507759800995,0.35467671839867326
0.0017312849505426709,0.00056301546337247737,0.0022576983587017313,-0.011450659401318468,-0.068703956407910813,0.068703956407910813,0.45802637605273877
0.001889077877265586,0.00035420232695424582,0.0020225895791521338,-0.010107240878096342,-0.060643445268578053,0.060643445268578053,0.40428963512385369
0.0013736701689228395,0.00037471582881710638,0.0014082542541395049,-0.0095602269207065282,-0.057361361524239166,0.057361361524239166,0.38240907682826114
0.00071203292871972008,0.00095996029373946791,0.0022816306361366531,-0.00972357127257867,-0.058341427635472023,0.058341427635472023,0.38894285090314679
0.0014903312958147081,0.00059619519443147254,0.00081323692130174697,-0.011213891875736102,-0.067283351254416618,0.067283351254416618,0.4485556750294441
0.00091404998463176935,0.00093654408053887644,0.001660691022718207,-0.010653127351918154,-0.06391876411150893,0.06391876411150893,0.42612509407672622
