CH4,SO4,HS,HCO3,CH4_rate,SO4_rate,HS_rate,HCO3_rate,growth
0.00031898197339077838,0.0028982485697048991,0.0017981113516038049,0.0012260961645075839,-0.00082502623556924551,-0.00082502623556924551,0.00082502623556924551,0.00082502623556924551,0.004125131177846228
0.0029959766155469507,0.00093205375763085092,0.0015132814968514103,0.0020736735170468297,-0.0019518979726952279,-0.0019518979726952279,0.0019518979726952279,0.0019518979726952279,0.0097594898634761409
0.0044798311811889953,0.0012140205380752687,0.0013602943655149321,0.0023701317803657921,-0.0023161382178204831,-0.0023161382178204831,0.0023161382178204831,0.0023161382178204831,0.011580691089102415
0.00014444762280966698,0.00015763144772541629,0.00085611645081925451,0.0012758728892817144,-0.00012101376147253911,-0.00012101376147253911,0.00012101376147253911,0.00012101376147253911,0.00060506880736269553
0.0040276285895594292,0.0074669787818576697,0.00029879818949244075,0.00059615619407356432,-0.003003291423184189,-0.003003291423184189,0.003003291423184189,0.003003291423184189,0.015016457115920945
0.00095894838347442056,0.0028950403677151172,0.0014640690553410281,0.001435149057816201,-0.0016697133177427381,-0.0016697133177427381,0.0016697133177427381,0.0016697133177427381,0.0083485665887136906
0.00047357809396637027,0.0050119906227106808,0.0012685254598149035,0.00082397439405962217,-0.0011689077002316152,-0.0011689077002316152,0.0011689077002316152,0.0011689077002316152,0.0058445385011580758
9.9630557906255258e-05,0.0036417382838624785,0.0019357574218245191,0.0037292513365674807,-0.00031866314119474373,-0.00031866314119474373,0.00031866314119474373,0.00031866314119474373,0.0015933157059737188
0.0014719455843903093,0.0059469792856385361,0.00064199185143849237,0.00096175352294353427,-0.0021971160220317712,-0.0021971160220317712,0.0021971160220317712,0.0021971160220317712,0.010985580110158856
0.003638287602469772,0.0064510015485816277,0.0017534790954503059,0.0016368404469378484,-0.0029119177564685423,-0.0029119177564685423,0.0029119177564685423,0.0029119177564685423,0.014559588782342711
0.0024709629655305038,0.003070087554593994,0.00043711782819348265,0.0022132624278244839,-0.0024487708217367167,-0.0024487708217367167,0.0024487708217367167,0.0024487708217367167,0.012243854108683583
0.0042660707723280933,0.0042872488160656088,0.0018925142976506419,0.0010839495816780678,-0.0029019775242324591,-0.0029019775242324591,0.0029019775242324591,0.0029019775242324591,0.014509887621162294
0.0010938844045722369,0.00078895918220664896,0.0019915995164939393,0.0020301175264626362,-0.001279069343917742,-0.001279069343917742,0.001279069343917742,0.001279069343917742,0.0063953467195887103
0.0015827619082457241,0.0022909564687888071,9.4338279057311957e-05,0.0022555980564192956,-0.0020121251191674741,-0.0020121251191674741,0.0020121251191674741,0.0020121251191674741,0.010060625595837371
0.001298122850754396,0.0017898445934410472,0.00064926800571883116,0.00029151219014411113,-0.0017660860517092153,-0.0017660860517092153,0.0017660860517092153,0.0017660860517092153,0.0088304302585460771
0.004891722675197943,0.0024753877494127288,0.0019965327183854159,0.0037949276076899691,-0.0027629892138594033,-0.0027629892138594033,0.0027629892138594033,0.0027629892138594033,0.013814946069297016
0.00470561991331066,0.0026023728369022163,0.0019366232751669796,0.0021980943545678367,-0.002767257206253983,-0.002767257206253983,0.002767257206253983,0.002767257206253983,0.013836286031269915
0.0017100240175239804,0.0046042857131993352,0.001341251593934281,0.00066959690708768703,-0.0022767552724293001,-0.0022767552724293001,0.0022767552724293001,0.0022767552724293001,0.0113837763621465
0.0021856475029257321,0.0026688323582038675,0.00026896549655463419,0.0039314301404234312,-0.0023113431337815869,-0.0023113431337815869,0.0023113431337815869,0.0023113431337815869,0.011556715668907935
0.001578454947232226,0.0026216206575348897,1.3235142986639526e-05,0.00075614685642293893,-0.00205646990804751,-0.00205646990804751,0.00205646990804751,0.00205646990804751,0.010282349540237551
0.0037350794973539992,0.0066519613603240454,0.00049846131993508717,0.0029370568503749956,-0.0029346554870137275,-0.0029346554870137275,0.0029346554870137275,0.0029346554870137275,0.014673277435068638
0.0002096653817404193,0.00010702283072114113,0.0018888691628502182,0.0019815322768773837,-0.00012223423995811811,-0.00012223423995811811,0.00012223423995811811,0.00012223423995811811,0.00061117119979059052
0.00034652027612921022,5.2024869033197273e-05,0.0016098199128046066,0.0011044471221443894,-9.7012589669605488e-05,-9.7012589669605488e-05,9.7012589669605488e-05,9.7012589669605488e-05,0.00048506294834802747
0.0020261475614673473,0.00046636190467899935,0.00085699804268049313,0.0015805172106025994,-0.0012924811783628809,-0.0012924811783628809,0.0012924811783628809,0.0012924811783628809,0.0064624058918144045
0.0012330193150591796,0.0069257061814864841,0.0015224595111590707,0.0019766652479764192,-0.0020599832699450971,-0.0020599832699450971,0.0020599832699450971,0.0020599832699450971,0.010299916349725486
0.0042276726586891224,0.0050735830192242398,0.0018045583600481067,0.0015465856631074963,-0.0029446471097007245,-0.0029446471097007245,0.0029446471097007245,0.0029446471097007245,0.014723235548503622
0.0037116174114116981,0.0058264260415021914,0.00059982497489592147,0.001063382986401172,-0.0029019971353392601,-0.0029019971353392601,0.0029019971353392601,0.0029019971353392601,0.014509985676696301
0.0027335119727895543,0.0076619331965272156,0.001748788963577933,0.0017227203393551805,-0.0027492152775062959,-0.0027492152775062959,0.0027492152775062959,0.0027492152775062959,0.013746076387531479
0.0033107628164243683,0.0017518216343843243,0.00053907502606552037,0.0017996313887736481,-0.0023899555862308321,-0.0023899555862308321,0.0023899555862308321,0.0023899555862308321,0.011949777931154161
0.0034644727423577704,0.0073608012977457215,0.00065740472133251097,0.002782228052341666,-0.002906599805245714,-0.002906599805245714,0.002906599805245714,0.002906599805245714,0.014532999026228569
0.0039074635687577275,0.001948376846654516,8.9440279832891489e-05,0.00087045698331745202,-0.0025345014311779707,-0.0025345014311779707,0.0025345014311779707,0.0025345014311779707,0.012672507155889853
0.0046382379596072573,0.0041557371503494018,0.00032036622895863578,0.00027736945482894243,-0.0029371710126390033,-0.0029371710126390033,0.0029371710126390033,0.0029371710126390033,0.014685855063195016
